%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695950737267490989,39,12537000000000,GPS1_Frame,42.339018333333335,-71.08846833333334,33.3,327955.52461363736,4689530.505054366,19,T
1695950738267933747,40,12538000000000,GPS1_Frame,42.33902,-71.08846666666666,32.9,327955.66646207334,4689530.686752742,19,T
1695950739267285674,41,12539000000000,GPS1_Frame,42.33902,-71.08846666666666,32.7,327955.66646207334,4689530.686752742,19,T
1695950740267919195,42,12540000000000,GPS1_Frame,42.33902,-71.088465,32.4,327955.80376497866,4689530.683380444,19,T
1695950741267643726,43,12541000000000,GPS1_Frame,42.33902,-71.08846666666666,32.3,327955.66646207334,4689530.686752742,19,T
1695950742267242769,44,12542000000000,GPS1_Frame,42.339018333333335,-71.088465,32.2,327955.7992194573,4689530.498309767,19,T
1695950743270282079,45,12543000000000,GPS1_Frame,42.339018333333335,-71.08846166666666,31.8,327956.07382527716,4689530.491565178,19,T
1695950744268113216,46,12544000000000,GPS1_Frame,42.339016666666666,-71.08846166666666,31.5,327956.06927976327,4689530.3064945005,19,T
1695950745267206079,47,12545000000000,GPS1_Frame,42.339016666666666,-71.08846,31.3,327956.20658267784,4689530.303122209,19,T
1695950746267881404,48,12546000000000,GPS1_Frame,42.339015,-71.08845833333334,31.4,327956.3393400817,4689530.114679246,19,T
1695950747267889807,49,12547000000000,GPS1_Frame,42.339013333333334,-71.08846,31.6,327956.1974916577,4689529.932980857,19,T
1695950748265256168,50,12548000000000,GPS1_Frame,42.33901,-71.08846166666666,31.7,327956.051097709,4689529.566211793,19,T
1695950749268052249,51,12549000000000,GPS1_Frame,42.33900833333333,-71.08846166666666,31.7,327956.0465521958,4689529.381141116,19,T
1695950750267644987,52,12550000000000,GPS1_Frame,42.339005,-71.08846166666666,31.7,327956.0374611698,4689529.010999762,19,T
1695950751266042305,53,12551000000000,GPS1_Frame,42.33900166666667,-71.08846333333334,31.6,327955.89106719714,4689528.644230702,19,T
1695950752265304285,54,12552000000000,GPS1_Frame,42.338998333333336,-71.088465,31.6,327955.74467321264,4689528.277461644,19,T
1695950753264717030,55,12553000000000,GPS1_Frame,42.338995,-71.08846833333334,31.7,327955.4609762522,4689527.914064889,19,T
1695950754267675729,56,12554000000000,GPS1_Frame,42.338993333333335,-71.08846666666666,31.6,327955.5937336914,4689527.725621913,19,T
1695950755288127597,57,12555000000000,GPS1_Frame,42.338995,-71.088465,31.6,327955.7355821738,4689527.90732029,19,T
1695950756267430745,58,12556000000000,GPS1_Frame,42.338995,-71.088465,31.6,327955.7355821738,4689527.90732029,19,T
1695950757267038507,59,12557000000000,GPS1_Frame,42.338993333333335,-71.08846666666666,31.5,327955.5937336914,4689527.725621913,19,T
1695950758267732376,60,12558000000000,GPS1_Frame,42.338991666666665,-71.08846666666666,31.4,327955.5891881687,4689527.540551237,19,T
1695950759288577012,61,12559000000000,GPS1_Frame,42.33899,-71.08846666666666,31.4,327955.58464264625,4689527.35548056,19,T
1695950760267511869,62,12600000000000,GPS1_Frame,42.33899,-71.08846666666666,31.3,327955.58464264625,4689527.35548056,19,T
1695950761266041292,63,12601000000000,GPS1_Frame,42.33899,-71.08846166666666,31.2,327955.99655156024,4689527.345363674,19,T
1695950762266092188,64,12602000000000,GPS1_Frame,42.338991666666665,-71.088455,31.2,327956.5503089438,4689527.516945206,19,T
1695950763268074508,65,12603000000000,GPS1_Frame,42.338991666666665,-71.08845166666667,31.1,327956.8249148776,4689527.51020065,19,T
1695950764267772712,66,12604000000000,GPS1_Frame,42.338995,-71.08844833333333,31.0,327957.10861178103,4689527.873597456,19,T
1695950765267121690,67,12605000000000,GPS1_Frame,42.338998333333336,-71.08844666666667,30.9,327957.2550056975,4689528.240366543,19,T
1695950766287691556,68,12606000000000,GPS1_Frame,42.33900166666667,-71.08844166666667,30.8,327957.6760054962,4689528.600391106,19,T
1695950767268033418,69,12607000000000,GPS1_Frame,42.33900666666667,-71.088435,30.7,327958.2388536423,4689529.142114119,19,T
1695950768286286602,70,12608000000000,GPS1_Frame,42.33901,-71.08843,30.7,327958.6598533349,4689529.502138739,19,T
1695950769286467935,71,12609000000000,GPS1_Frame,42.339015,-71.08841833333334,30.7,327959.63461008546,4689530.033745153,19,T
1695950770286001537,72,12610000000000,GPS1_Frame,42.339016666666666,-71.08840833333333,30.7,327960.46297298383,4689530.198582547,19,T
1695950771286174644,73,12611000000000,GPS1_Frame,42.339018333333335,-71.0884,30.8,327961.1540329278,4689530.366792231,19,T
1695950772265059042,74,12612000000000,GPS1_Frame,42.33902,-71.08839166666667,30.9,327961.84509283525,4689530.53500198,19,T
1695950773280720777,75,12613000000000,GPS1_Frame,42.33902166666667,-71.088385,30.9,327962.39884980314,4689530.706583964,19,T
1695950774285976293,76,12614000000000,GPS1_Frame,42.33902333333333,-71.08837833333334,30.9,327962.9526067439,4689530.878165989,19,T
1695950775286076538,77,12615000000000,GPS1_Frame,42.33902333333333,-71.088375,30.9,327963.2272125406,4689530.871421681,19,T
1695950776280204099,78,12616000000000,GPS1_Frame,42.33902333333333,-71.08837166666666,30.8,327963.50181833724,4689530.864677384,19,T
1695950777279560416,79,12617000000000,GPS1_Frame,42.33902333333333,-71.08837666666666,30.7,327963.0899096433,4689530.874793834,19,T
1695950778265559647,80,12618000000000,GPS1_Frame,42.33902,-71.08838333333334,30.6,327962.5316073626,4689530.518141122,19,T
1695950779286160093,81,12619000000000,GPS1_Frame,42.339016666666666,-71.08839166666667,30.6,327961.83600211225,4689530.164860627,19,T
1695950780287281291,82,12620000000000,GPS1_Frame,42.339013333333334,-71.08839833333333,30.6,327961.27769971086,4689529.808208011,19,T
1695950781288110320,83,12621000000000,GPS1_Frame,42.33900666666667,-71.08840666666667,30.4,327960.57300353434,4689529.084786285,19,T
1695950782267880213,84,12622000000000,GPS1_Frame,42.33900333333333,-71.08841166666667,30.3,327960.15200392285,4689528.724761554,19,T
1695950783267732495,85,12623000000000,GPS1_Frame,42.338998333333336,-71.08841833333334,30.2,327959.58915589977,4689528.183038389,19,T
1695950784267673838,86,12624000000000,GPS1_Frame,42.338993333333335,-71.08843,30.0,327958.6143988993,4689527.651431977,19,T
