%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695953137360802751,1,20537000000000,GPS1_Frame,42.33864333333333,-71.09286833333333,21.6,327592.0199868714,4689497.776408495,19,T
1695953138358210313,2,20538000000000,GPS1_Frame,42.33864666666667,-71.09287166666667,21.5,327591.7544895236,4689498.153308753,19,T
1695953139379193749,3,20539000000000,GPS1_Frame,42.33864833333333,-71.092875,21.4,327591.4844371083,4689498.345138305,19,T
1695953140359059448,4,20540000000000,GPS1_Frame,42.338651666666664,-71.09288,21.3,327591.08163606795,4689498.725418013,19,T
1695953141379297600,5,20541000000000,GPS1_Frame,42.338651666666664,-71.09288,21.4,327591.08163606795,4689498.725418013,19,T
1695953142357236904,6,20542000000000,GPS1_Frame,42.33865333333333,-71.09288,21.4,327591.0861911761,4689498.9104887275,19,T
1695953143358304061,7,20543000000000,GPS1_Frame,42.338655,-71.09288166666667,21.3,327590.9534425453,4689499.098938875,19,T
1695953144378267025,8,20544000000000,GPS1_Frame,42.338656666666665,-71.092885,21.3,327590.6833901908,4689499.290768459,19,T
1695953145378163329,9,20545000000000,GPS1_Frame,42.33866166666667,-71.09289166666667,21.4,327590.1478406559,4689499.85949838,19,T
1695953146356691912,10,20546000000000,GPS1_Frame,42.33866166666667,-71.09290333333334,21.2,327589.1867145923,4689499.883154584,19,T
1695953147356780707,11,20547000000000,GPS1_Frame,42.338665,-71.09291666666667,21.2,327588.0973951833,4689500.28033184,19,T
1695953148357175154,12,20548000000000,GPS1_Frame,42.33866166666667,-71.09293,21.2,327586.98985501775,4689499.937226402,19,T
1695953149358661433,13,20549000000000,GPS1_Frame,42.338656666666665,-71.092945,21.1,327585.7404557553,4689499.412429951,19,T
1695953150377689175,14,20550000000000,GPS1_Frame,42.338651666666664,-71.09295833333333,21.0,327584.6283600398,4689498.884254162,19,T
1695953151377546458,15,20551000000000,GPS1_Frame,42.33864666666667,-71.09297166666667,20.9,327583.5162641504,4689498.356078546,19,T
1695953152376383544,16,20552000000000,GPS1_Frame,42.33864,-71.09298833333334,20.7,327582.12500521046,4689497.649591586,19,T
1695953153358025202,17,20553000000000,GPS1_Frame,42.338633333333334,-71.093005,20.5,327580.733745981,4689496.943104897,19,T
1695953154377026785,18,20554000000000,GPS1_Frame,42.33862666666667,-71.09302,20.4,327579.4797902639,4689496.23323882,19,T
1695953155377818922,19,20555000000000,GPS1_Frame,42.33862166666667,-71.09303333333334,20.2,327578.3676935383,4689495.705063998,19,T
1695953156376940391,20,20556000000000,GPS1_Frame,42.338615,-71.09304833333333,20.1,327577.1137373474,4689494.99519833,19,T
1695953157358465838,21,20557000000000,GPS1_Frame,42.33860833333333,-71.093065,19.8,327575.7224770543,4689494.288712608,19,T
1695953158376823605,22,20558000000000,GPS1_Frame,42.33860166666667,-71.09308,19.6,327574.4685203284,4689493.578847399,19,T
1695953159357092130,23,20559000000000,GPS1_Frame,42.338595,-71.09309666666667,19.4,327573.07725946873,4689492.872362187,19,T
