%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.indicator,field.utm_easting,field.utm_northing,field.zone,field.letter
1697043472264996050,1,61068000000000,GPS1_Frame,42.33854675292969,-71.05255126953125,0.10166999697685242,5.0,6693.6513671875,46743.671875,42.0,T
1697043473306381849,2,61069000000000,GPS1_Frame,42.33854675292969,-71.05255126953125,0.10142000019550323,5.0,6693.6513671875,46743.671875,42.0,T
1697043474339554561,3,61070000000000,GPS1_Frame,42.33854675292969,-71.05255126953125,0.10147999972105026,5.0,6693.6513671875,46743.671875,42.0,T
1697043475371931805,4,61071000000000,GPS1_Frame,42.33854293823242,-71.05255126953125,0.10123000293970108,5.0,6693.650390625,46743.66796875,42.0,T
1697043476406435015,5,61072000000000,GPS1_Frame,42.338539123535156,-71.05254364013672,0.1013299971818924,5.0,6693.64697265625,46743.6640625,42.0,T
1697043477438809816,6,61073000000000,GPS1_Frame,42.338531494140625,-71.05253601074219,0.10152000188827515,5.0,6693.64306640625,46743.66015625,42.0,T
1697043478480848045,7,61074000000000,GPS1_Frame,42.33852767944336,-71.05252838134766,0.10102999955415726,5.0,6693.638671875,46743.65625,42.0,T
1697043479514978251,8,61075000000000,GPS1_Frame,42.33852005004883,-71.0525131225586,0.10079000145196915,5.0,6693.6337890625,46743.65234375,42.0,T
1697043480548904716,9,61076000000000,GPS1_Frame,42.3385124206543,-71.05250549316406,0.10019999742507935,5.0,6693.62939453125,46743.64453125,42.0,T
1697043481582510217,10,61077000000000,GPS1_Frame,42.338504791259766,-71.05249786376953,0.10001999884843826,5.0,6693.62451171875,46743.640625,42.0,T
1697043482614640275,11,61078000000000,GPS1_Frame,42.338497161865234,-71.052490234375,0.1003900021314621,5.0,6693.61962890625,46743.63671875,42.0,T
1697043483657316669,12,61079000000000,GPS1_Frame,42.3384895324707,-71.05247497558594,0.09989999979734421,5.0,6693.6142578125,46743.62890625,42.0,T
1697043484689691169,13,61080000000000,GPS1_Frame,42.33848190307617,-71.0524673461914,0.1003199964761734,5.0,6693.6083984375,46743.625,42.0,T
1697043485722322697,14,61081000000000,GPS1_Frame,42.33847427368164,-71.05245208740234,0.09971000254154205,5.0,6693.60302734375,46743.62109375,42.0,T
1697043486754527087,15,61082000000000,GPS1_Frame,42.33846664428711,-71.05244445800781,0.1003900021314621,5.0,6693.59765625,46743.6171875,42.0,T
1697043487787383310,16,61083000000000,GPS1_Frame,42.338462829589844,-71.05242919921875,0.09965000301599503,5.0,6693.59228515625,46743.61328125,42.0,T
1697043488829392448,17,61084000000000,GPS1_Frame,42.33845520019531,-71.05242156982422,0.09943000227212906,5.0,6693.58740234375,46743.609375,42.0,T
1697043489862333900,18,61085000000000,GPS1_Frame,42.33844757080078,-71.05240631103516,0.09927000105381012,5.0,6693.58203125,46743.6015625,42.0,T
1697043490895391187,19,61086000000000,GPS1_Frame,42.33843994140625,-71.05239868164062,0.09911999851465225,5.0,6693.576171875,46743.59765625,42.0,T
1697043491928129249,20,61087000000000,GPS1_Frame,42.338436126708984,-71.05238342285156,0.09927000105381012,5.0,6693.5703125,46743.59375,42.0,T
1697043492960486453,21,61088000000000,GPS1_Frame,42.33842468261719,-71.05237579345703,0.09838999807834625,4.0,6693.5654296875,46743.58984375,42.0,T
1697043494002937619,22,61089000000000,GPS1_Frame,42.338417053222656,-71.05236053466797,0.09843000024557114,4.0,6693.5595703125,46743.58203125,42.0,T
1697043495036040169,23,61090000000000,GPS1_Frame,42.338409423828125,-71.05235290527344,0.09853000193834305,5.0,6693.55419921875,46743.578125,42.0,T
1697043496068135298,24,61091000000000,GPS1_Frame,42.338401794433594,-71.0523452758789,0.09854000061750412,4.0,6693.54931640625,46743.5703125,42.0,T
1697043497102670765,25,61092000000000,GPS1_Frame,42.33839416503906,-71.05233001708984,0.09848000109195709,4.0,6693.54345703125,46743.56640625,42.0,T
1697043498136825404,26,61093000000000,GPS1_Frame,42.33838653564453,-71.05231475830078,0.09708999842405319,5.0,6693.53759765625,46743.5625,42.0,T
1697043499179086894,27,61094000000000,GPS1_Frame,42.33837890625,-71.05230712890625,0.09636999666690826,5.0,6693.53173828125,46743.5546875,42.0,T
1697043500212207252,28,61095000000000,GPS1_Frame,42.33837127685547,-71.05229187011719,0.09550999850034714,5.0,6693.525390625,46743.55078125,42.0,T
1697043501244400072,29,61096000000000,GPS1_Frame,42.33836364746094,-71.05227661132812,0.09525000303983688,5.0,6693.51904296875,46743.546875,42.0,T
1697043502280209900,30,61097000000000,GPS1_Frame,42.338356018066406,-71.0522689819336,0.0950699970126152,5.0,6693.513671875,46743.5390625,42.0,T
1697043503314119006,31,61098000000000,GPS1_Frame,42.33835220336914,-71.05225372314453,0.09561999887228012,5.0,6693.50830078125,46743.53515625,42.0,T
1697043504355788939,32,61099000000000,GPS1_Frame,42.33834457397461,-71.05224609375,0.09550999850034714,5.0,6693.50244140625,46743.53125,42.0,T
