%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.indicator,field.utm_easting,field.utm_northing,field.zone,field.letter
1697039557371174816,18,57155000000000,GPS1_Frame,42.33807373046875,-71.052978515625,0.2343599945306778,5.0,6693.869140625,46743.359375,42.0,T
1697039558404927850,19,57156000000000,GPS1_Frame,42.338069915771484,-71.05296325683594,0.23413999378681183,5.0,6693.8642578125,46743.35546875,42.0,T
1697039559439441680,20,57157000000000,GPS1_Frame,42.33806228637695,-71.0529556274414,0.23372000455856323,5.0,6693.85986328125,46743.3515625,42.0,T
1697039560471670207,21,57158000000000,GPS1_Frame,42.33805465698242,-71.05294799804688,0.23277999460697174,5.0,6693.85498046875,46743.34765625,42.0,T
1697039561505762431,22,57159000000000,GPS1_Frame,42.33804702758789,-71.05294036865234,0.2319599986076355,5.0,6693.85009765625,46743.34375,42.0,T
1697039562538250156,23,57160000000000,GPS1_Frame,42.338043212890625,-71.05293273925781,0.23177999258041382,5.0,6693.84619140625,46743.33984375,42.0,T
1697039563570827956,24,57161000000000,GPS1_Frame,42.338035583496094,-71.05291748046875,0.23141999542713165,5.0,6693.841796875,46743.33203125,42.0,T
1697039564603262345,25,57162000000000,GPS1_Frame,42.33802795410156,-71.05290985107422,0.2305999994277954,5.0,6693.83642578125,46743.328125,42.0,T
1697039565636837534,26,57163000000000,GPS1_Frame,42.33802032470703,-71.05290222167969,0.22994999587535858,5.0,6693.83154296875,46743.32421875,42.0,T
1697039566668751871,27,57164000000000,GPS1_Frame,42.338016510009766,-71.05288696289062,0.22887000441551208,5.0,6693.8271484375,46743.3203125,42.0,T
1697039567700636971,28,57165000000000,GPS1_Frame,42.338008880615234,-71.0528793334961,0.22834999859333038,5.0,6693.8232421875,46743.31640625,42.0,T
1697039568733445222,29,57166000000000,GPS1_Frame,42.3380012512207,-71.05287170410156,0.22799000144004822,5.0,6693.81884765625,46743.3125,42.0,T
1697039569766276966,30,57167000000000,GPS1_Frame,42.33799743652344,-71.05286407470703,0.22756999731063843,5.0,6693.814453125,46743.30859375,42.0,T
1697039570808742604,31,57168000000000,GPS1_Frame,42.337989807128906,-71.0528564453125,0.22699999809265137,5.0,6693.8095703125,46743.3046875,42.0,T
1697039571840841720,32,57169000000000,GPS1_Frame,42.33798599243164,-71.05284118652344,0.22641000151634216,5.0,6693.8046875,46743.30078125,42.0,T
1697039572874386667,33,57170000000000,GPS1_Frame,42.33797836303711,-71.0528335571289,0.22618000209331512,5.0,6693.80029296875,46743.296875,42.0,T
1697039573906843540,34,57171000000000,GPS1_Frame,42.337974548339844,-71.05282592773438,0.22548000514507294,5.0,6693.7958984375,46743.29296875,42.0,T
1697039574940304229,35,57172000000000,GPS1_Frame,42.33796691894531,-71.05281829833984,0.2248300015926361,5.0,6693.7919921875,46743.28515625,42.0,T
1697039575974983092,36,57173000000000,GPS1_Frame,42.33795928955078,-71.05281066894531,0.22450000047683716,5.0,6693.78759765625,46743.28125,42.0,T
1697039577007194535,37,57174000000000,GPS1_Frame,42.33795166015625,-71.05280303955078,0.22386999428272247,5.0,6693.783203125,46743.27734375,42.0,T
1697039578040190125,38,57175000000000,GPS1_Frame,42.33794403076172,-71.05279541015625,0.22330999374389648,5.0,6693.77978515625,46743.2734375,42.0,T
1697039579073166883,39,57176000000000,GPS1_Frame,42.33794021606445,-71.05278778076172,0.22301000356674194,5.0,6693.77587890625,46743.26953125,42.0,T
1697039580105513391,40,57177000000000,GPS1_Frame,42.33793258666992,-71.05277252197266,0.22253000736236572,5.0,6693.771484375,46743.26171875,42.0,T
1697039581141093186,41,57178000000000,GPS1_Frame,42.33792495727539,-71.05276489257812,0.22203999757766724,5.0,6693.76708984375,46743.2578125,42.0,T
